stop_id,stop_code,stop_name,stop_lat,stop_lon,Routes,Direction,Accessibility,Type
6069,6069,Sheppard Ave West at Jane St East Side,43.739369,-79.512583,384 | 84 | 984,Eastbound,2,Bus
6087,6087,Sheppard Ave West at Sentinel Rd,43.743786,-79.491659,108 | 384 | 84 | 984,Westbound,1,Bus
4598,4598,Sheppard Ave West at William R Allen Rd West Side,43.750252,-79.463904,106 | 107 | 108 | 384 | 84,Northbound,1,Bus
3117,3117,Sherway Gardens Rd at Sherway Gate (Mall),43.609729,-79.558438,123,Northbound,1,Bus
9108,9108,Sherway Gardens Rd at Sherway Gate Mall West Side,43.610024,-79.558228,80,Eastbound,1,Bus
9109,9109,Sherway Gardens Rd at Sherway Gate Mall,43.609785,-79.558022,123,Northbound,1,Bus
11587,11587,Sherway Gardens Rd at Sherway Gate (Mall),43.609847,-79.557773,123 | 15 | 315,Northbound,1,Bus
1262,1262,Main St at Danforth Ave,43.688037,-79.301635,306 | 506,Eastbound,2,Streetcar
11826,11826,Main St at Danforth Ave,43.687796,-79.301532,135 | 64 | 87,Northbound,1,Bus
2855,2855,Main St at Doncaster Ave,43.691558,-79.303255,87,Eastbound,2,Bus
1264,1264,Main St at Gerrard St East,43.684061,-79.300315,64,Southbound,1,Bus
13923,13923,Main St at Gerrard St East,43.684182,-79.300207,135 | 306 | 506,Eastbound,1,Bus
13900,13900,Markham Rd at Passmore Ave North Side,43.831141,-79.250611,102,Northbound,2,Bus
11331,11331,Martin Grove Rd at Finch Ave West North Side,43.737241,-79.591714,927,Northbound,1,Bus
5620,5620,Martin Grove Rd at John Garland Blvd,43.731919,-79.589166,396 | 46,Northbound,1,Bus
5627,5627,Martin Grove Rd at Mercury Rd,43.726119,-79.586894,46,Southbound,1,Bus
7957,7957,Westhumber Blvd at Martin Grove Rd North Side,43.726355,-79.586705,396 | 96 | 996,Westbound,2,Bus
9993,9993,McCowan Rd at Elson St,43.834965,-79.27602,129,Northbound,1,Bus
9807,9807,McCowan Rd at Steeles Ave East North Side,43.83177,-79.2752,129 | 302,Northbound,1,Bus
10577,10577,McCowan Rd at Steeles Ave East South Side,43.830294,-79.275161,129 | 302,Northbound,1,Bus
2874,2874,1020 McNicoll Ave,43.804303,-79.335709,42,Westbound,1,Bus
12017,12017,McNicoll Ave at Silver Springs Blvd,43.809896,-79.306447,42,Eastbound,1,Bus
12035,12035,McNicoll Ave at Silver Springs Blvd,43.810154,-79.306225,17 | 42,Southbound,1,Bus
9179,9179,McNicoll Ave at Victoria Park Ave,43.803924,-79.336632,39 | 42,Eastbound,1,Bus
6575,6575,Meadowvale Rd at Sheppard Ave East,43.808582,-79.171055,386 | 86 | 986,Westbound,1,Bus
11415,11415,Military Trail at Morningside Ave,43.789009,-79.193257,12 | 905,Eastbound,1,Bus
5753,5753,Millwood Rd at Overlea Blvd North Side,43.702117,-79.353246,56,Northbound,1,Bus
4484,4484,Millwood Rd at Overlea Blvd,43.70187,-79.35243,100 | 72,Northbound,1,Bus
10947,10947,Morningside Ave at Casebridge Crt North Side,43.809256,-79.20275,131,Eastbound,1,Bus
11249,11249,Morningside Ave at John Stoner Dr South Side,43.813037,-79.206022,131,Westbound,1,Bus
13906,13906,Nightstar Rd at Morningside Ave North Side,43.823402,-79.230475,133 | 53 | 939 | 953,Northbound,1,Bus
14104,14104,2851 Morningside Ave Walkway to Raponi Cir,43.826549,-79.232874,133 | 53 | 939 | 953,Northbound,1,Bus
5755,5755,Morning Star Dr at Catalpa Rd,43.719752,-79.643204,52,Westbound,2,Bus
5756,5756,Morning Star Dr at Catalpa Rd,43.720149,-79.643031,52,Eastbound,1,Bus
5758,5758,Morning Star Dr at Airport Rd East Side,43.709985,-79.649766,52,Westbound,2,Bus
5759,5759,Morning Star Dr at Lancaster Ave,43.712757,-79.647418,52,Westbound,2,Bus
5760,5760,Morning Star Dr at Manion Rd,43.71257,-79.647738,52,Eastbound,2,Bus
5763,5763,Morning Star Dr at Reindeer Dr West Side,43.714132,-79.646964,52,Eastbound,2,Bus
5764,5764,Morning Star Dr at Reindeer Dr,43.714642,-79.646501,52,Westbound,2,Bus
5773,5773,Mortimer Ave at Coxwell Ave West Side - Michael Garron Hospital,43.69056,-79.327056,62,Westbound,1,Bus
5813,5813,Mt Pleasant Rd at Eglinton Ave East North Side,43.708909,-79.3902,103,Northbound,1,Bus
1380,1380,Neilson Rd at Finch Ave East South Side,43.81544,-79.227311,133,Southbound,1,Bus
11667,11667,Neilson Rd at Finch Ave East South Side,43.815638,-79.227412,334 | 39,Eastbound,1,Bus
5904,5904,Oakwood Ave at Eglinton Ave West South Side,43.696926,-79.442725,363 | 63 | 90,Southbound,1,Bus
5911,5911,Oakwood Ave at Rogers Rd,43.687031,-79.438568,363 | 63,Northbound,1,Bus
1419,1419,O'Connor Dr at Pape Ave,43.693124,-79.350439,8,Northbound,1,Bus
4509,4509,Old Weston Rd at St Clair Ave West North Side,43.673945,-79.463061,168 | 341 | 41 | 941,Northbound,1,Bus
11583,11583,Old Weston Rd at St Clair Ave West,43.673248,-79.462852,127,Westbound,1,Bus
4508,4508,Old Weston Rd at St Clair Ave West,43.673628,-79.463123,127 | 168,Southbound,1,Bus
8008,8008,Ossington Ave at Bloor St West,43.661821,-79.425454,363 | 63 | 94,Northbound,1,Bus
9857,9857,Ossington Ave at Bloor St West,43.662062,-79.425772,161 | 363 | 63 | 94,Southbound,1,Bus
2979,2979,Overlea Blvd at Millwood Rd East Side,43.702452,-79.35223,25 | 325 | 88,Northbound,2,Bus
8009,8009,Overlea Blvd at Millwood Rd,43.702345,-79.352727,88,Southbound,1,Bus
8011,8011,Overlea Blvd at Thorncliffe Park Dr (East),43.70725,-79.344028,100 | 25 | 925,Northbound,1,Bus
11846,11846,Pape Ave at Lipton Ave North Side,43.679891,-79.345139,325 | 72,Northbound,1,Bus
4501,4501,Pape Ave at O'Connor Dr North Side,43.693657,-79.350372,100 | 25,Northbound,1,Bus
1451,1451,Parliament St at Carlton St,43.663906,-79.36772,306 | 506,Westbound,2,Streetcar
1452,1452,Parliament St at Gerrard St East,43.662048,-79.367169,306 | 506,Eastbound,2,Streetcar
1453,1453,Peter Kaiser Gate at Steeles Ave West,43.774009,-79.526633,35,Northbound,1,Bus
6698,6698,Pharmacy Ave at Ellesmere Rd,43.758892,-79.310043,67,Northbound,1,Bus
9885,9885,Port Union Rd at Adenmore Rd North Side,43.781768,-79.13747,38 | 395,Westbound,1,Bus
3587,3587,Finch Ave West at Dufferin St,43.768624,-79.467298,336 | 36 | 939,Eastbound,1,Bus
12456,12456,Finch Ave West at Rumike Rd East Side,43.749971,-79.551625,119,Eastbound,2,Bus
3613,3613,Finch Ave West at Senlac Rd,43.776326,-79.430344,336 | 36 | 939,Eastbound,1,Bus
3622,3622,Finch Ave West at Wilmington Ave,43.770054,-79.460827,336 | 36,Eastbound,1,Bus
10210,10210,Fleet St at Bathurst St,43.63647,-79.400131,509 | 511,Northbound,1,Streetcar
2646,2646,Freshmeadow Dr at Don Mills Rd,43.809241,-79.358694,25 | 325 | 925,Northbound,1,Bus
9116,9116,Freshmeadow Dr at Don Mills Rd,43.809161,-79.358829,51,Northbound,1,Bus
9536,9536,Front St East at Berkeley St,43.651396,-79.363737,301 | 504,Westbound,1,Streetcar
7480,7480,Lawson Rd at Kingston Rd - Highway 2A Overpass,43.784126,-79.168334,38,Eastbound,1,Bus
6625,6625,Highland Creek Overpass at Kingston Rd,43.784451,-79.168491,386 | 86 | 986,Eastbound,1,Bus
11560,11560,Highland Creek Overpass at Kingston Rd,43.784282,-79.168278,38,Westbound,1,Bus
11504,11504,Highway 27 at Queen's Plate Dr - Woodbine Centre,43.722448,-79.597785,927,Northbound,1,Bus
12196,12196,Humber College Blvd at Humberline Dr South Side,43.731793,-79.608899,927 | 96,Southbound,1,Bus
12064,12064,Humberline Dr at Humber College Blvd West Side,43.731956,-79.609689,336 | 37 | 96 | 996,Southbound,1,Bus
11049,11049,Humberline Dr at Humber College Blvd,43.731861,-79.609562,336 | 37 | 996,Northbound,1,Bus
9901,9901,Islington Ave at Bloor St West North Side,43.64541,-79.523592,110 | 337 | 37 | 50 | 937,Northbound,1,Bus
13363,13363,Islington Ave at Bloor St West,43.644497,-79.523193,337,Northbound,1,Bus
3791,3791,Islington Ave at Finch Ave West,43.745841,-79.568376,337 | 37 | 937,Northbound,1,Bus
13518,13518,Islington Ave at Steeles Ave West,43.763708,-79.574525,166,Westbound,1,Bus
3863,3863,Jane St at Annette St,43.658168,-79.487997,335 | 35 | 55,Northbound,1,Bus
3878,3878,Jane St at Trethewey Dr,43.697819,-79.502577,335 | 35 | 935,Southbound,1,Bus
3891,3891,Jane St at Finch Ave West South Side,43.756377,-79.517646,335 | 35 | 935 | 99,Northbound,1,Bus
3903,3903,Jane St at Heathrow Dr,43.724803,-79.509439,335 | 35,Northbound,1,Bus
10411,10411,Jane St at Hullmar Dr,43.772801,-79.521145,335 | 35,Northbound,1,Bus
3904,3904,Jane St at Hullmar Dr,43.773357,-79.521585,335 | 35,Southbound,1,Bus
11842,11842,Jane St at Lambton Ave,43.68093,-79.497522,171,Northbound,1,Bus
3916,3916,Jane St at Pritchard Ave,43.669731,-79.493013,189 | 335 | 35,Southbound,1,Bus
2740,2740,Jane St at Wright Ave,43.701092,-79.503411,32 | 335 | 35,Southbound,1,Bus
10412,10412,Jane St at Steeles Ave West,43.775288,-79.521497,335 | 35 | 935,Northbound,1,Bus
12146,12146,John Garland Blvd at Finch Ave West South Side,43.73531,-79.594657,336,Westbound,1,Bus
11199,11199,John Garland Blvd at Finch Ave West,43.735579,-79.594631,336,Eastbound,1,Bus
9149,9149,Keele St at Finch Ave West North Side - Finch West Station,43.764093,-79.490996,101 | 107 | 341 | 41 | 941,Northbound,1,Bus
11321,11321,Keele St at Finch Ave West - Finch West Station,43.763952,-79.491402,101 | 336 | 341 | 41 | 806 | 941,Southbound,1,Bus
6338,6338,Crescent Rd at South Dr (West),43.678317,-79.382775,82,Eastbound,1,Bus
1080,1080,Gerrard St East at Blackburn St,43.664667,-79.355383,121 | 306 | 506,Eastbound,2,Bus
5221,5221,Lansdowne Ave at Seaforth Ave,43.642783,-79.437588,402 | 47,Southbound,1,Bus
13313,13313,Scarlett Rd at Foxwell St,43.669109,-79.501269,79,Northbound,2,Bus
2381,2381,Eglinton Ave West at Martin Grove Rd,43.674662,-79.562929,32 | 332,Westbound,1,Bus
